template005.jpg,160.30,767.17,0.667,1.000,1.000,0.998
template005.jpg,2043.91,288.33,0.660,1.000,1.000,0.959
template005.jpg,1723.97,1225.93,2.358,1.000,1.000,0.949
template005.jpg,2079.72,3494.76,-2.130,1.000,1.000,0.945
template005.jpg,1013.64,3166.66,-1.604,1.000,1.000,0.940
template005.jpg,2626.04,2137.63,-2.124,1.000,1.000,0.932
template005.jpg,755.67,1260.71,-1.078,1.000,1.000,0.931
template005.jpg,728.53,1767.11,-2.387,1.000,1.000,0.931
template005.jpg,182.09,2931.40,-2.126,1.000,1.000,0.931
template005.jpg,506.18,2214.33,-2.472,1.000,1.000,0.909
template005.jpg,1160.17,2269.76,-0.990,1.000,1.000,0.908
template005.jpg,1623.66,1875.71,-2.125,1.000,1.000,0.906
template005.jpg,2407.04,2966.01,2.930,1.000,1.000,0.897
template005.jpg,1908.31,1548.44,-2.214,1.000,1.000,0.896
template005.jpg,2629.08,1338.15,-2.653,1.000,1.000,0.893
template005.jpg,1602.63,2994.57,-0.820,1.000,1.000,0.890
template005.jpg,1890.82,2278.35,-0.028,1.000,1.000,0.882
template005.jpg,1421.60,2472.28,1.625,1.000,1.000,0.878
template005.jpg,1314.52,801.05,1.103,1.000,1.000,0.672
